tt_id,tt_name,tt_info_url
2,Apples,"http:/en.wikipedia.org/wiki/Apples"
3,Blackberries,"http:/en.wikipedia.org/wiki/Blackberries"
4,Blueberries,"http:/en.wikipedia.org/wiki/Blueberries"
5,Cherries,"http:/en.wikipedia.org/wiki/Cherries"
6,Crabapples,"http:/en.wikipedia.org/wiki/Crabapples"
7,Elderberries,"http:/en.wikipedia.org/wiki/Elderberries"
8,Figs,"http:/en.wikipedia.org/wiki/Figs"
9,Flying Dragon,"http:/en.wikipedia.org/wiki/Flying Dragon"
10,Ginkgo,"http:/en.wikipedia.org/wiki/Ginkgo"
11,Kiwi,"http:/en.wikipedia.org/wiki/Kiwi"
12,Mulberries,"http:/en.wikipedia.org/wiki/Mulberries"
13,Muscadines,"http:/en.wikipedia.org/wiki/Muscadines"
14,Nectarines,"http:/en.wikipedia.org/wiki/Nectarines"
15,Other,"http:/en.wikipedia.org/wiki/Other"
16,Pawpaw,"http:/en.wikipedia.org/wiki/Pawpaw"
17,Peaches,"http:/en.wikipedia.org/wiki/Peaches"
18,Pears,"http:/en.wikipedia.org/wiki/Pears"
19,Pecans,"http:/en.wikipedia.org/wiki/Pecans"
20,Persimmon,"http:/en.wikipedia.org/wiki/Persimmon"
21,Plums,"http:/en.wikipedia.org/wiki/Plums"
22,Pomegranates,"http:/en.wikipedia.org/wiki/Pomegranates"
23,Prickly Pear,"http:/en.wikipedia.org/wiki/Prickly Pear"
24,Quince,"http:/en.wikipedia.org/wiki/Quince"
25,Raspberries,"http:/en.wikipedia.org/wiki/Raspberries"
26,Serviceberries,"http:/en.wikipedia.org/wiki/Serviceberries"
