tree_id,tree_type,tree_lat,tree_lng,tree_notes,tree_add_date,tree_user_id,tree_private
13,Pears,33.74378,-84.33986,,02/17/11,98.88.255.85,0
14,Pears,33.74376,-84.33986,,02/17/11,98.88.255.85,0
18,Blueberries,33.74403,-84.33928,,02/17/11,98.88.255.85,0
19,Other,33.74379,-84.33984,Raspberries,02/17/11,98.88.255.85,0
20,Persimmon,33.74114,-84.33189,Japanese,02/17/11,98.88.255.85,0
21,Pomegranates,33.74114,-84.33179,,02/17/11,98.88.255.85,0
22,Figs,33.74118,-84.33168,,02/17/11,98.88.255.85,0
23,Pawpaw,33.74126,-84.33159,,02/17/11,98.88.255.85,0
24,Pawpaw,33.74125,-84.33152,,02/17/11,98.88.255.85,0
25,Pears,33.74121,-84.33146,,02/17/11,98.88.255.85,0
26,Quince,33.74116,-84.33144,,02/17/11,98.88.255.85,0
27,Pecans,33.74117,-84.33157,,02/17/11,98.88.255.85,0
28,Blueberries,33.74123,-84.33163,,02/17/11,98.88.255.85,0
29,Blueberries,33.74123,-84.33164,,02/17/11,98.88.255.85,0
30,Other,33.74119,-84.3314,Jujubee,02/17/11,98.88.255.85,0
31,Persimmon,33.74085,-84.33146,,02/17/11,98.88.255.85,0
34,Figs,33.75457,-84.32806,,02/17/11,98.88.255.85,0
35,Apples,33.7546,-84.32798,,02/17/11,98.88.255.85,0
36,Apples,33.75456,-84.32798,,02/17/11,98.88.255.85,0
37,Pomegranates,33.78241,-84.36339,,02/17/11,98.88.255.85,0
38,Pomegranates,33.78237,-84.36339,,02/17/11,98.88.255.85,0
39,Pawpaw,33.78235,-84.36329,,02/17/11,98.88.255.85,0
42,Figs,33.78237,-84.36334,,02/17/11,98.88.255.85,0
43,Apples,33.78241,-84.36328,,02/17/11,98.88.255.85,0
45,Pears,33.78242,-84.36331,,02/17/11,98.88.255.85,0
46,Other,33.78246,-84.36326,Kiwi,02/17/11,98.88.255.85,0
47,Crabapples,33.78095,-84.37185,,02/17/11,98.88.255.85,0
48,Crabapples,33.78094,-84.37185,,02/17/11,98.88.255.85,0
49,Pomegranates,33.78094,-84.37193,,02/17/11,98.88.255.85,0
50,Plums,33.78093,-84.37188,,02/17/11,98.88.255.85,0
51,Persimmon,33.78092,-84.37185,Fuyu,02/17/11,98.88.250.220,0
54,Plums,33.78091,-84.37188,,02/17/11,184.36.245.203,0
55,Apples,33.73757,-84.34712,,02/17/11,72.152.9.253,0
56,Pomegranates,33.7374,-84.34709,,02/17/11,72.152.9.253,0
57,Pawpaw,33.73744,-84.34715,,02/17/11,72.152.9.253,0
58,Pawpaw,33.73754,-84.34717,,02/17/11,72.152.9.253,0
59,Plums,33.73754,-84.34709,,02/17/11,72.152.9.253,0
60,Persimmon,33.73745,-84.34707,Fuyu,02/17/11,72.152.9.253,0
61,Plums,33.73311,-84.42135,,02/17/11,98.92.19.243,0
62,Plums,33.73312,-84.42143,,02/17/11,98.92.19.243,0
63,Plums,33.73317,-84.4215,,02/17/11,98.92.19.243,0
64,Pawpaw,33.73302,-84.42139,,02/17/11,98.92.19.243,0
65,Pawpaw,33.73304,-84.42145,,02/17/11,98.92.19.243,0
66,Pawpaw,33.73302,-84.42143,,02/17/11,98.92.19.243,0
67,Pawpaw,33.73299,-84.42139,,02/17/11,98.92.19.243,0
68,Plums,33.73316,-84.42148,,02/17/11,98.92.19.243,0
69,Other,33.73276,-84.4214,Walnut,02/17/11,98.92.19.243,0
119,Apples,33.76942,-84.3405,,02/17/11,98.92.19.243,0
120,Apples,33.76938,-84.34052,,02/17/11,98.92.19.243,0
122,Serviceberries,33.73146,-84.37349,,02/17/11,98.92.19.243,0
123,Serviceberries,33.73131,-84.37348,,02/17/11,98.92.19.243,0
124,Pears,33.73151,-84.37339,,02/17/11,98.92.19.243,0
125,Persimmon,33.73141,-84.3734,Japanese,02/17/11,98.92.19.243,0
126,Persimmon,33.73137,-84.3734,Japanese,02/17/11,98.92.19.243,0
127,Persimmon,33.73155,-84.37346,native,02/17/11,98.92.19.243,0
128,Figs,33.73146,-84.37329,,02/17/11,98.92.19.243,0
129,Figs,33.73146,-84.37329,,02/17/11,98.92.19.243,0
130,Pomegranates,33.73142,-84.37328,,02/17/11,98.92.19.243,0
131,Pawpaw,33.73144,-84.3733,,02/17/11,98.92.19.243,0
132,Pawpaw,33.73143,-84.3733,paw-paw,02/17/11,98.92.19.243,0
133,Pawpaw,33.73143,-84.3733,paw-paw,02/17/11,98.92.19.243,0
134,Blueberries,33.73143,-84.37333,,02/17/11,98.92.19.243,0
135,Other,33.7314,-84.37343,herbs,02/17/11,98.92.19.243,0
136,Other,33.73138,-84.37343,herbs,02/17/11,98.92.19.243,0
138,Serviceberries,33.74637,-84.33981,,02/18/11,98.92.19.243,0
139,Serviceberries,33.7464,-84.33984,,02/18/11,98.92.19.243,0
140,Serviceberries,33.74645,-84.33981,,02/18/11,98.92.19.243,0
141,Serviceberries,33.74648,-84.33985,,02/18/11,98.92.19.243,0
142,Serviceberries,33.74652,-84.33982,,02/18/11,98.92.19.243,0
143,Serviceberries,33.74654,-84.33986,,02/18/11,98.92.19.243,0
145,Serviceberries,33.74719,-84.33986,,02/18/11,98.92.19.243,0
146,Serviceberries,33.74717,-84.33981,,02/18/11,98.92.19.243,0
148,Plums,33.75171,-84.35941,,02/18/11,98.92.19.243,0
152,Other,33.7517,-84.35516,jujubee,02/18/11,98.92.19.243,0
153,Other,33.7501,-84.35453,loquat,02/18/11,98.92.19.243,0
154,Pecans,33.75028,-84.35579,,02/18/11,98.92.19.243,0
155,Persimmon,33.74292,-84.34802,Fuyu,03/07/11,72.152.7.188,0
156,Persimmon,33.74291,-84.34796,Fuyu,03/07/11,72.152.7.188,0
157,Plums,33.74288,-84.34799,Santa Rosa,03/07/11,72.152.7.188,0
158,Pomegranates,33.74292,-84.34799,,03/07/11,72.152.7.188,0
160,Pawpaw,33.73944,-84.37284,Pawpaw,03/27/11,98.192.38.181,0
167,Serviceberries,33.7689,-84.35425,,03/27/11,98.192.38.181,0
168,Serviceberries,33.76893,-84.35418,,03/27/11,98.192.38.181,0
169,Serviceberries,33.76859,-84.35721,,03/27/11,98.192.38.181,0
170,Serviceberries,33.77054,-84.35844,,03/27/11,98.192.38.181,0
171,Serviceberries,33.77082,-84.35869,,03/27/11,98.192.38.181,0
174,Serviceberries,33.77352,-84.35973,,03/27/11,98.192.38.181,0
175,Serviceberries,33.77353,-84.35975,,03/27/11,98.192.38.181,0
186,Serviceberries,33.76514,-84.35486,,03/27/11,98.192.38.181,0
187,Serviceberries,33.76506,-84.3549,,03/27/11,98.192.38.181,0
201,Pomegranates,33.74226,-84.43428,,04/04/11,98.92.19.98,0
202,Pawpaw,33.74209,-84.43431,mango,04/04/11,98.92.19.98,0
203,Pawpaw,33.74213,-84.43431,rebecca\'s gold,04/04/11,98.92.19.98,0
204,Plums,33.7423,-84.43425,,04/04/11,98.92.19.98,0
205,Persimmon,33.74224,-84.4342,jap,04/04/11,98.92.19.98,0
206,Plums,33.74225,-84.43434,,04/04/11,98.92.19.98,0
207,Other,33.74228,-84.43438,Hazelnuts,04/04/11,98.92.19.98,0
208,Plums,33.74205,-84.43419,chickasaw plums,04/04/11,98.92.19.98,0
209,Quince,33.74848,-84.37365,,04/04/11,98.92.19.98,0
210,Quince,33.74849,-84.37327,,04/04/11,98.92.19.98,0
211,Pawpaw,33.74748,-84.37469,,04/04/11,98.92.19.98,0
212,Pawpaw,33.74754,-84.37468,,04/04/11,98.92.19.98,0
213,Serviceberries,33.74732,-84.37448,,04/04/11,98.92.19.98,0
214,Serviceberries,33.74836,-84.37257,,04/04/11,98.92.19.98,0
215,Serviceberries,33.7484,-84.37257,,04/04/11,98.92.19.98,0
216,Pawpaw,33.74749,-84.37461,,04/04/11,98.92.19.98,0
217,Plums,33.75173,-84.35931,,04/04/11,98.92.19.98,0
218,Other,33.74379,-84.33987,Oregano,04/04/11,98.92.19.98,0
219,Other,33.74394,-84.33986,Rosemary,04/04/11,98.92.19.98,0
220,Other,33.74291,-84.34777,Hazelnuts,04/04/11,98.92.19.98,0
221,Serviceberries,33.75256,-84.36196,2 trees here,04/10/11,98.219.8.57,0
222,Serviceberries,33.75258,-84.36193,2 trees here,04/10/11,98.219.8.57,0
223,Persimmon,33.75507,-84.3385,,04/25/11,72.152.7.53,0
225,Pears,33.75532,-84.33833,,04/25/11,72.152.7.53,0
239,Other,33.73864,-84.34464,Kiwi,04/29/11,98.92.20.58,0
240,Blueberries,33.73868,-84.34464,,04/29/11,98.92.20.58,0
241,Blueberries,33.73873,-84.34464,,04/29/11,98.92.20.58,0
242,Blueberries,33.73873,-84.34464,,04/29/11,98.92.20.58,0
243,Blueberries,33.73861,-84.34464,,04/29/11,98.92.20.58,0
244,Other,33.73867,-84.34463,Raspberries,04/29/11,98.92.20.58,0
245,Mulberries,33.76566,-84.354,,04/30/11,98.92.20.58,0
252,Mulberries,33.76281,-84.31955,,05/02/11,98.219.8.57,0
258,Serviceberries,33.76859,-84.3573,,05/08/11,98.219.8.57,0
259,Serviceberries,33.76859,-84.3573,,05/08/11,98.219.8.57,0
260,Mulberries,33.762,-84.34868,,05/08/11,98.219.8.57,0
264,Serviceberries,33.76749,-84.36781,,05/08/11,98.219.8.57,0
265,Serviceberries,33.76747,-84.36781,,05/08/11,98.219.8.57,0
266,Serviceberries,33.76746,-84.36781,,05/08/11,98.219.8.57,0
268,Mulberries,33.73517,-84.36536,,05/10/11,174.49.119.196,0
269,Mulberries,33.73568,-84.36621,,05/10/11,174.49.119.196,0
270,Mulberries,33.77497,-84.35322,,05/11/11,98.219.8.57,0
271,Mulberries,33.77448,-84.35335,White Mulberry,05/11/11,98.219.8.57,0
272,Cherries,33.7601,-84.35792,"Labeled as \""flowering cherries\""",05/11/11,98.219.8.57,0
273,Serviceberries,33.8052,-84.23889,"Three trees, two actively fruiting in May",05/12/11,140.194.193.108,0
286,Serviceberries,33.76445,-84.32335,,05/15/11,98.92.227.148,0
287,Mulberries,33.76192,-84.31914,,05/15/11,98.92.227.148,0
288,Pecans,33.75354,-84.32664,,05/15/11,98.92.227.148,0
289,Muscadines,33.77368,-84.33569,,05/15/11,98.92.227.148,0
290,Muscadines,33.77348,-84.33572,,05/15/11,98.92.227.148,0
