tree_id,tree_type,tree_lat,tree_lng,"tree_notes",tree_add_date,tree_user_id,tree_private,tree_hash
13,18,33.74378,-84.33986,"",02/17/11,98.88.255.85,0,"djupbycefb"
14,18,33.74376,-84.33986,"",02/17/11,98.88.255.85,0,"djupbycedu"
18,4,33.74403,-84.33928,"",02/17/11,98.88.255.85,0,"djupbyfj0r"
19,15,33.74379,-84.33984,"Raspberries",02/17/11,98.88.255.85,0,"djupbyceg6"
20,20,33.74114,-84.33189,"Japanese",02/17/11,98.88.255.85,0,"djupbyrkks"
21,22,33.74114,-84.33179,"",02/17/11,98.88.255.85,0,"djupbyrkqu"
22,8,33.74118,-84.33168,"",02/17/11,98.88.255.85,0,"djupbyrs97"
23,16,33.74126,-84.33159,"",02/17/11,98.88.255.85,0,"djupbyrt5d"
24,16,33.74125,-84.33152,"",02/17/11,98.88.255.85,0,"djupbyrtj0"
25,18,33.74121,-84.33146,"",02/17/11,98.88.255.85,0,"djupbyrsy9"
26,24,33.74116,-84.33144,"",02/17/11,98.88.255.85,0,"djupbyrsx0"
27,19,33.74117,-84.33157,"",02/17/11,98.88.255.85,0,"djupbyrsec"
28,4,33.74123,-84.33163,"",02/17/11,98.88.255.85,0,"djupbyrsft"
29,4,33.74123,-84.33164,"",02/17/11,98.88.255.85,0,"djupbyrsfm"
30,15,33.74119,-84.3314,"Jujubee",02/17/11,98.88.255.85,0,"djupbyrsxv"
31,20,33.74085,-84.33146,"",02/17/11,98.88.255.85,0,"djupbyrdww"
34,8,33.75457,-84.32806,"",02/17/11,98.88.255.85,0,"dnh010f4tg"
35,2,33.7546,-84.32798,"",02/17/11,98.88.255.85,0,"dnh010f4z9"
36,2,33.75456,-84.32798,"",02/17/11,98.88.255.85,0,"dnh010f4xd"
37,22,33.78241,-84.36339,"",02/17/11,98.88.255.85,0,"dnh00mbky9"
38,22,33.78237,-84.36339,"",02/17/11,98.88.255.85,0,"dnh00mbkwd"
39,16,33.78235,-84.36329,"",02/17/11,98.88.255.85,0,"dnh00mbs2y"
42,8,33.78237,-84.36334,"",02/17/11,98.88.255.85,0,"dnh00mbkxd"
43,2,33.78241,-84.36328,"",02/17/11,98.88.255.85,0,"dnh00mbsc1"
45,18,33.78242,-84.36331,"",02/17/11,98.88.255.85,0,"dnh00mbsb7"
46,15,33.78246,-84.36326,"Kiwi",02/17/11,98.88.255.85,0,"dnh00mbt1d"
47,6,33.78095,-84.37185,"",02/17/11,98.88.255.85,0,"dnh00jdk33"
48,6,33.78094,-84.37185,"",02/17/11,98.88.255.85,0,"dnh00jdk1r"
49,22,33.78094,-84.37193,"",02/17/11,98.88.255.85,0,"dnh00jdhpx"
50,21,33.78093,-84.37188,"",02/17/11,98.88.255.85,0,"dnh00jdk0t"
51,20,33.78092,-84.37185,"Fuyu",02/17/11,98.88.250.220,0,"dnh00jdk17"
54,21,33.78091,-84.37188,"",02/17/11,184.36.245.203,0,"dnh00jdk0d"
55,2,33.73757,-84.34712,"",02/17/11,72.152.9.253,0,"djupbtsr9d"
56,22,33.7374,-84.34709,"",02/17/11,72.152.9.253,0,"djupbtsqd7"
57,16,33.73744,-84.34715,"",02/17/11,72.152.9.253,0,"djupbtsqbf"
58,16,33.73754,-84.34717,"",02/17/11,72.152.9.253,0,"djupbtsr2m"
59,21,33.73754,-84.34709,"",02/17/11,72.152.9.253,0,"djupbtsr6m"
60,20,33.73745,-84.34707,"Fuyu",02/17/11,72.152.9.253,0,"djupbtsqfu"
61,21,33.73311,-84.42135,"",02/17/11,98.92.19.243,0,"djgzyuyjxg"
62,21,33.73312,-84.42143,"",02/17/11,98.92.19.243,0,"djgzyuyjwj"
63,21,33.73317,-84.4215,"",02/17/11,98.92.19.243,0,"djgzyuyjuq"
64,16,33.73302,-84.42139,"",02/17/11,98.92.19.243,0,"djgzyuyjp4"
65,16,33.73304,-84.42145,"",02/17/11,98.92.19.243,0,"djgzyuyjjw"
66,16,33.73302,-84.42143,"",02/17/11,98.92.19.243,0,"djgzyuyjn4"
67,16,33.73299,-84.42139,"",02/17/11,98.92.19.243,0,"djgzyuyhzj"
68,21,33.73316,-84.42148,"",02/17/11,98.92.19.243,0,"djgzyuyjuu"
69,15,33.73276,-84.4214,"Walnut",02/17/11,98.92.19.243,0,"djgzyuy5wf"
119,2,33.76942,-84.3405,"",02/17/11,98.92.19.243,0,"dnh00g915u"
120,2,33.76938,-84.34052,"",02/17/11,98.92.19.243,0,"dnh00g90gk"
122,26,33.73146,-84.37349,"",02/17/11,98.92.19.243,0,"djupbh95gp"
123,26,33.73131,-84.37348,"",02/17/11,98.92.19.243,0,"djupbh9557"
124,18,33.73151,-84.37339,"",02/17/11,98.92.19.243,0,"djupbh9hm9"
125,20,33.73141,-84.3734,"Japanese",02/17/11,98.92.19.243,0,"djupbh95tq"
126,20,33.73137,-84.3734,"Japanese",02/17/11,98.92.19.243,0,"djupbh95mr"
127,20,33.73155,-84.37346,"native",02/17/11,98.92.19.243,0,"djupbh9heb"
128,8,33.73146,-84.37329,"",02/17/11,98.92.19.243,0,"djupbh95zz"
129,8,33.73146,-84.37329,"",02/17/11,98.92.19.243,0,"djupbh95zz"
130,22,33.73142,-84.37328,"",02/17/11,98.92.19.243,0,"djupbh97b0"
131,16,33.73144,-84.3733,"",02/17/11,98.92.19.243,0,"djupbh95zs"
132,16,33.73143,-84.3733,"paw-paw",02/17/11,98.92.19.243,0,"djupbh95zd"
133,16,33.73143,-84.3733,"paw-paw",02/17/11,98.92.19.243,0,"djupbh95zd"
134,4,33.73143,-84.37333,"",02/17/11,98.92.19.243,0,"djupbh95yf"
135,15,33.7314,-84.37343,"herbs",02/17/11,98.92.19.243,0,"djupbh95ss"
136,15,33.73138,-84.37343,"herbs",02/17/11,98.92.19.243,0,"djupbh95s8"
138,26,33.74637,-84.33981,"",02/18/11,98.92.19.243,0,"djupbz3dgg"
139,26,33.7464,-84.33984,"",02/18/11,98.92.19.243,0,"djupbz3e52"
