"food_id","food_type","food_lat","food_long","food_notes","add_date","ip_addr","lastpicked_date","lastpicked_status","food_total_2009","food_total_2010","food_total_2011","food_total_2012"
"27","Apples","33.74385","-84.33931","","02/17/11","98.88.255.85","","","","","",""
"29","Cherries","33.74383","-84.33929","","02/17/11","98.88.255.85","","","","","",""
"30","Pawpaw","33.74378","-84.3393","","02/17/11","98.88.255.85","","","","","",""
"31","Blueberries","33.74382","-84.33928","","02/17/11","98.88.255.85","","","","","",""
"32","Other","33.7438","-84.33926","Raspberries","02/17/11","98.88.255.85","","","","","",""
"34","Quince","33.74395","-84.33929","","02/17/11","98.88.255.85","","","","","",""
"35","Figs","33.74398","-84.33931","dwarf fig","02/17/11","98.88.255.85","","","","","",""
"36","Pawpaw","33.74086","-84.33147","","02/17/11","98.88.255.85","","","","","",""
"37","Apples","33.7375","-84.34715","","02/17/11","72.152.9.253","","","","","",""
"40","Other","33.7314","-84.37343","herbs","02/17/11","98.92.19.243","","","","","",""
"41","Serviceberries","33.75249","-84.35917","princess diana","02/18/11","98.92.19.243","","","","","",""
"42","Serviceberries","33.75249","-84.35923","princess diana","02/18/11","98.92.19.243","","","","","",""
"44","Apples","33.75043","-84.3583","","04/04/11","98.92.19.98","","","","","",""
"45","Apples","33.75053","-84.35832","","04/04/11","98.92.19.98","","","","","",""
"46","Serviceberries","33.75248","-84.35924","Princess Dianna","04/04/11","98.92.19.98","","","","","",""
"47","Serviceberries","33.7525","-84.35943","Princess Dianna","04/04/11","98.92.19.98","","","","","",""
"50","Peaches","33.7637","-84.3116","","04/27/11","98.219.8.57","","","","","",""
"54","Blueberries","33.73863","-84.34462","","04/29/11","98.92.20.58","","","","","",""
"55","Figs","33.77115","-84.35757","","05/08/11","98.219.8.57","","","","","",""
"56","Figs","33.75915","-84.31085","","05/08/11","98.219.8.57","","","","","",""
"58","Other","33.76792","-84.34718","Loquat, ripe in Mid May","05/13/11","98.219.8.57","","","","","",""
"60","Mulberries","33.76272","-84.31963","","05/15/11","98.92.227.148","","","","","",""
"61","Muscadines","33.75615","-84.31564","","05/15/11","98.92.227.148","","","","","",""
"62","Other","33.77534","-84.32916","Black Walnut","05/15/11","98.92.227.148","","","","","",""
"64","Prickly Pear","33.76079","-84.31095","owner gladly lets you pick the fruit in late summer/early fall","05/15/11","98.92.227.148","","","","","",""
"65","Pears","33.75249","-84.33922","","05/18/11","98.219.8.57","","","","","",""
"67","Peaches","33.75091","-84.35189","","05/18/11","98.219.8.57","","","","","",""
"72","Cherries","33.75025","-84.36291","Maybe?","05/20/11","98.219.8.57","","","","","",""
"73","Peaches","33.75022","-84.36025","","05/20/11","98.219.8.57","","","","","",""
"74","Muscadines","33.75008","-84.35928","","05/20/11","98.219.8.57","","","","","",""
"75","Other","33.74879","-84.34218","Loquat","05/20/11","98.219.8.57","","","","","",""
"76","Other","33.74873","-84.34218","Loquat","05/20/11","98.219.8.57","","","","","",""
"78","Other","33.76327","-84.33229","Loquat","05/30/11","98.219.8.57","","","","","",""
"80","Figs","33.81596","-84.31565","small","05/30/11","127.0.0.1","","","","","",""
"81","Figs","33.82102","-84.3214","2 good sized fig trees","05/30/11","127.0.0.1","","","","","",""
"82","Cherries","33.81879","-84.32079","black cherries at the intersection","05/30/11","127.0.0.1","","","","","",""
"83","Blackberries","33.82371","-84.32923","by the side of the park entrance, not many of them.","05/30/11","127.0.0.1","","","","","",""
"84","Cherries","33.80983","-84.35183","very tall and fruitful black cherry tree","05/30/11","127.0.0.1","","","","","",""
"85","Figs","33.80149","-84.34917","Mis-sized fig","05/30/11","127.0.0.1","","","","","",""
"86","Peaches","33.79589","-84.3476","small, but fruiting tree","05/30/11","127.0.0.1","","","","","",""
"88","Figs","33.80162","-84.34432","fair sized fig","05/30/11","127.0.0.1","","","","","",""
"89","Pomegranates","33.79366","-84.34745","in the backyard","05/30/11","127.0.0.1","","","","","",""
"91","Ginkgo","33.79418","-84.3528","2 female ginkos","05/30/11","127.0.0.1","","","","","",""
"92","Figs","33.79541","-84.35473","i think a large backyard fig behind 1490","05/30/11","127.0.0.1","","","","","",""
"93","Peaches","33.79558","-84.36344","big, weird peach tree. maybe having trouble due to vines?","05/30/11","127.0.0.1","","","","","",""
"94","Peaches","33.82126","-84.3196","mid sized, by 1728","05/30/11","127.0.0.1","","","","","",""
"96","Figs","33.81094","-84.28683","possibly an enormous fig tree behind 2467","05/30/11","127.0.0.1","","","","","",""
"100","Ginkgo","33.81508","-84.28289","huge, huge lady ginko at 1233","05/30/11","127.0.0.1","","","","","",""
"102","Figs","33.81648","-84.27899","3 figs at 1246","05/30/11","127.0.0.1","","","","","",""
"103","Figs","33.81648","-84.27899","3 figs at 1246","05/30/11","127.0.0.1","","","","","",""
"107","Peaches","33.79715","-84.35002","","06/01/11","98.219.8.57","","","","","",""
"109","Pecans","33.75008","-84.35981","Elliot Pecan according to Janna","06/01/11","98.219.8.57","","","","","",""
"110","Peaches","33.74872","-84.36562","Peaches at 214 according to Janna","06/01/11","98.219.8.57","","","","","",""
"112","Peaches","33.75004","-84.36602","Peaches at 167 according to Janna","06/01/11","98.219.8.57","","","","","",""
"113","Peaches","33.75527","-84.35244","","06/03/11","98.219.8.57","","","","","",""
"115","Peaches","33.74961","-84.36327","At 182 estoria according to Janna","06/03/11","98.219.8.57","","","","","",""
