tree_id,tree_type,tree_lat,tree_lng,tree_notes,tree_add_date,tree_user_id,tree_private
1012,Apples,33.74385,-84.33931,,02/17/11,98.88.255.85,1
1013,Cherries,33.74383,-84.33929,,02/17/11,98.88.255.85,1
1014,Pawpaw,33.74378,-84.3393,,02/17/11,98.88.255.85,1
1015,Blueberries,33.74382,-84.33928,,02/17/11,98.88.255.85,1
1016,Other,33.7438,-84.33926,Raspberries,02/17/11,98.88.255.85,1
1017,Quince,33.74395,-84.33929,,02/17/11,98.88.255.85,1
1018,Figs,33.74398,-84.33931,dwarf fig,02/17/11,98.88.255.85,1
1019,Pawpaw,33.74086,-84.33147,,02/17/11,98.88.255.85,1
1020,Apples,33.7375,-84.34715,,02/17/11,72.152.9.253,1
1021,Other,33.7314,-84.37343,herbs,02/17/11,98.92.19.243,1
1022,Serviceberries,33.75249,-84.35917,princess diana,02/18/11,98.92.19.243,1
1023,Serviceberries,33.75249,-84.35923,princess diana,02/18/11,98.92.19.243,1
1024,Apples,33.75043,-84.3583,,04/04/11,98.92.19.98,1
1025,Apples,33.75053,-84.35832,,04/04/11,98.92.19.98,1
1026,Serviceberries,33.75248,-84.35924,Princess Dianna,04/04/11,98.92.19.98,1
1027,Serviceberries,33.7525,-84.35943,Princess Dianna,04/04/11,98.92.19.98,1
1028,Peaches,33.7637,-84.3116,,04/27/11,98.219.8.57,1
1029,Blueberries,33.73863,-84.34462,,04/29/11,98.92.20.58,1
1030,Figs,33.77115,-84.35757,,05/08/11,98.219.8.57,1
1031,Figs,33.75915,-84.31085,,05/08/11,98.219.8.57,1
1032,Other,33.76792,-84.34718,"Loquat, ripe in Mid May",05/13/11,98.219.8.57,1
1033,Mulberries,33.76272,-84.31963,,05/15/11,98.92.227.148,1
1034,Muscadines,33.75615,-84.31564,,05/15/11,98.92.227.148,1
1035,Other,33.77534,-84.32916,Black Walnut,05/15/11,98.92.227.148,1
1036,Prickly Pear,33.76079,-84.31095,owner gladly lets you pick the fruit in late summer/early fall,05/15/11,98.92.227.148,1
1037,Pears,33.75249,-84.33922,,05/18/11,98.219.8.57,1
1038,Peaches,33.75091,-84.35189,,05/18/11,98.219.8.57,1
1039,Cherries,33.75025,-84.36291,Maybe?,05/20/11,98.219.8.57,1
1040,Peaches,33.75022,-84.36025,,05/20/11,98.219.8.57,1
1041,Muscadines,33.75008,-84.35928,,05/20/11,98.219.8.57,1
1042,Other,33.74879,-84.34218,Loquat,05/20/11,98.219.8.57,1
1043,Other,33.74873,-84.34218,Loquat,05/20/11,98.219.8.57,1
1044,Other,33.76327,-84.33229,Loquat,05/30/11,98.219.8.57,1
1045,Figs,33.81596,-84.31565,small,05/30/11,127.0.0.1,1
1046,Figs,33.82102,-84.3214,2 good sized fig trees,05/30/11,127.0.0.1,1
1047,Cherries,33.81879,-84.32079,black cherries at the intersection,05/30/11,127.0.0.1,1
1048,Blackberries,33.82371,-84.32923,"by the side of the park entrance, not many of them.",05/30/11,127.0.0.1,1
1049,Cherries,33.80983,-84.35183,very tall and fruitful black cherry tree,05/30/11,127.0.0.1,1
1050,Figs,33.80149,-84.34917,Mis-sized fig,05/30/11,127.0.0.1,1
1051,Peaches,33.79589,-84.3476,"small, but fruiting tree",05/30/11,127.0.0.1,1
1052,Figs,33.80162,-84.34432,fair sized fig,05/30/11,127.0.0.1,1
1053,Pomegranates,33.79366,-84.34745,in the backyard,05/30/11,127.0.0.1,1
1054,Ginkgo,33.79418,-84.3528,2 female ginkos,05/30/11,127.0.0.1,1
1055,Figs,33.79541,-84.35473,i think a large backyard fig behind 1490,05/30/11,127.0.0.1,1
1056,Peaches,33.79558,-84.36344,"big, weird peach tree. maybe having trouble due to vines?",05/30/11,127.0.0.1,1
1057,Peaches,33.82126,-84.3196,"mid sized, by 1728",05/30/11,127.0.0.1,1
1058,Figs,33.81094,-84.28683,possibly an enormous fig tree behind 2467,05/30/11,127.0.0.1,1
1059,Ginkgo,33.81508,-84.28289,"huge, huge lady ginko at 1233",05/30/11,127.0.0.1,1
1060,Figs,33.81648,-84.27899,3 figs at 1246,05/30/11,127.0.0.1,1
1061,Figs,33.81648,-84.27899,3 figs at 1246,05/30/11,127.0.0.1,1
1062,Peaches,33.79715,-84.35002,,06/01/11,98.219.8.57,1
1063,Pecans,33.75008,-84.35981,Elliot Pecan according to Janna,06/01/11,98.219.8.57,1
1064,Peaches,33.74872,-84.36562,Peaches at 214 according to Janna,06/01/11,98.219.8.57,1
1065,Peaches,33.75004,-84.36602,Peaches at 167 according to Janna,06/01/11,98.219.8.57,1
1066,Peaches,33.75527,-84.35244,,06/03/11,98.219.8.57,1
1067,Peaches,33.74961,-84.36327,At 182 estoria according to Janna,06/03/11,98.219.8.57,1
1068,Figs,33.74977,-84.36326,At 186 estoria according to Janna,06/03/11,98.219.8.57,1
1069,Apples,33.76439,-84.35413,,06/05/11,98.219.8.57,1
1070,Peaches,33.75757,-84.31857,,06/05/11,98.219.8.57,1
1071,Prickly Pear,33.76078,-84.31095,"private property, but owner happily allows pear picking with permission.",06/20/11,74.2.230.250,1
1072,Blueberries,33.83349,-84.15322,Private home in back yard ,06/29/11,166.137.14.6,1
1073,Figs,33.75602,-84.30379,Biggest fig tree ever! I\'ll stop by soon! -Gibby,06/29/11,166.137.14.6,1
1074,Figs,33.733,-84.36214,Baby fig at the end of the street,07/28/11,174.252.137.105,1
1075,Apples,33.75031,-84.36135,Somewhere near here,07/29/11,98.219.8.57,1
1076,Plums,33.87936,-84.27948,maybe ,08/12/11,66.87.105.135,1
1077,Pomegranates,33.58304,-84.5094,,08/15/11,67.103.46.138,1
1078,Figs,33.75494,-84.33024,3 biggies between the houses,08/16/11,174.252.167.146,1
1079,Figs,33.86235,-84.26418,verified,08/18/11,98.219.8.57,1
1080,Figs,33.86235,-84.26409,verified,08/18/11,98.219.8.57,1
1081,Pomegranates,33.86229,-84.26396,verified,08/18/11,98.219.8.57,1
1082,Pomegranates,33.8623,-84.26387,verified,08/18/11,98.219.8.57,1
1083,Apples,34.17476,-84.16729,"Belong to RIck Daniel - Rld6369@bellsouth.net, 770-294-7798",08/18/11,98.219.8.57,1
1084,Pears,34.17474,-84.16744,"3 trees. Belong to RIck Daniel - Rld6369@bellsouth.net, 770-294-7798",08/18/11,98.219.8.57,1
1085,Figs,34.17468,-84.16733,"Belong to RIck Daniel - Rld6369@bellsouth.net, 770-294-7798",08/18/11,98.219.8.57,1
1086,Crabapples,34.17477,-84.16709,"Belong to RIck Daniel - Rld6369@bellsouth.net, 770-294-7798",08/18/11,98.219.8.57,1
1087,Muscadines,34.1747,-84.16759,"Belong to RIck Daniel - Rld6369@bellsouth.net, 770-294-7798",08/18/11,98.219.8.57,1
1088,Pecans,34.17472,-84.16709,"Belong to RIck Daniel - Rld6369@bellsouth.net, 770-294-7798",08/18/11,98.219.8.57,1
1089,Figs,33.78024,-84.40094,Notes,09/16/11,166.248.66.123,1
1090,Pomegranates,33.87117,-84.25418,verified,09/18/11,66.87.107.110,1
1091,Persimmon,33.87108,-84.25417,verified japanese,09/18/11,66.87.109.165,1
1092,Other,33.77411,-84.3151,Chestnuts,09/30/11,24.30.98.161,1
1093,Other,33.77424,-84.31493,Chestnuts ,09/30/11,24.30.98.161,1
1094,Pomegranates,33.76856,-84.33309,ripe in late october 2011,11/06/11,98.219.8.57,1
1095,Pears,33.88039,-84.22143,Super nice red pears,12/18/11,98.219.8.57,1
1096,Pomegranates,33.79078,-84.29492,,12/21/11,98.219.8.57,1
1097,Apples,33.82815,-84.2875,2 young gala apples,12/26/11,66.87.108.255,1
1098,Flying Dragon,33.74418,-84.34008,,01/26/12,98.92.18.75,1
1099,Other,33.74402,-84.33935,Jujube,02/09/12,208.54.44.199,1
1100,Figs,33.67732,-84.12664,,03/21/12,72.152.2.73,1
1101,Mulberries,33.75277,-84.33018,"verified, large tree",04/05/12,66.87.110.11,1
1102,Figs,33.75444,-84.3305,verified medium tree,04/05/12,66.87.110.11,1
1103,Figs,33.75496,-84.3302,verified gigantic tree!,04/05/12,66.87.110.11,1
1104,Figs,33.74266,-84.36644,good size tree,04/18/12,166.248.107.205,1
1105,Mulberries,33.74209,-84.36548,watery tasting. bland.,04/18/12,166.248.107.205,1
1106,Mulberries,33.74157,-84.36465,too high to taste.,04/18/12,166.248.107.205,1
1107,Figs,33.73657,-84.35588,mid-sized,04/25/12,166.248.99.202,1
1108,Figs,33.74253,-84.34057,verified. very big,04/25/12,66.87.108.95,1
1109,Figs,33.73495,-84.35762,"backyard fig, good size",04/25/12,166.248.99.202,1
1110,Figs,33.73349,-84.3613,small to mid sized,04/25/12,166.248.99.202,1
1111,Mulberries,33.7418,-84.37178,big,04/25/12,166.248.99.202,1
1112,Pears,33.74183,-84.37176,"tall, tall tree",04/25/12,166.248.99.202,1
1113,Pomegranates,33.73895,-84.36963,"fair sized, lots of buds",04/25/12,166.248.99.202,1
1114,Peaches,33.73898,-84.36967,small,04/25/12,166.248.99.202,1
1115,Peaches,33.73725,-84.36528,mid sized,04/26/12,166.248.99.202,1
