"food_id","food_type","food_lat","food_long","food_notes","add_date","ip_addr","lastpicked_date","lastpicked_status","food_total_2009","food_total_2010","food_total_2011","food_total_2012"
"13","Pears","33.74378","-84.33986","","02/17/11","98.88.255.85","","","","","",""
"14","Pears","33.74376","-84.33986","","02/17/11","98.88.255.85","","","","","",""
"18","Blueberries","33.74403","-84.33928","","02/17/11","98.88.255.85","","","","","",""
"19","Other","33.74379","-84.33984","Raspberries","02/17/11","98.88.255.85","","","","","",""
"20","Persimmon","33.74114","-84.33189","Japanese","02/17/11","98.88.255.85","","","","","",""
"21","Pomegranates","33.74114","-84.33179","","02/17/11","98.88.255.85","","","","","",""
"22","Figs","33.74118","-84.33168","","02/17/11","98.88.255.85","","","","","",""
"23","Pawpaw","33.74126","-84.33159","","02/17/11","98.88.255.85","","","","","",""
"24","Pawpaw","33.74125","-84.33152","","02/17/11","98.88.255.85","","","","","",""
"25","Pears","33.74121","-84.33146","","02/17/11","98.88.255.85","","","","","",""
"26","Quince","33.74116","-84.33144","","02/17/11","98.88.255.85","","","","","",""
"27","Pecans","33.74117","-84.33157","","02/17/11","98.88.255.85","","","","","",""
"28","Blueberries","33.74123","-84.33163","","02/17/11","98.88.255.85","","","","","",""
"29","Blueberries","33.74123","-84.33164","","02/17/11","98.88.255.85","","","","","",""
"30","Other","33.74119","-84.3314","Jujubee","02/17/11","98.88.255.85","","","","","",""
"31","Persimmon","33.74085","-84.33146","","02/17/11","98.88.255.85","","","","","",""
"34","Figs","33.75457","-84.32806","","02/17/11","98.88.255.85","","","","","",""
"35","Apples","33.7546","-84.32798","","02/17/11","98.88.255.85","","","","","",""
"36","Apples","33.75456","-84.32798","","02/17/11","98.88.255.85","","","","","",""
"37","Pomegranates","33.78241","-84.36339","","02/17/11","98.88.255.85","","","","","",""
"38","Pomegranates","33.78237","-84.36339","","02/17/11","98.88.255.85","","","","","",""
"39","Pawpaw","33.78235","-84.36329","","02/17/11","98.88.255.85","","","","","",""
"42","Figs","33.78237","-84.36334","","02/17/11","98.88.255.85","","","","","",""
"43","Apples","33.78241","-84.36328","","02/17/11","98.88.255.85","","","","","",""
"45","Pears","33.78242","-84.36331","","02/17/11","98.88.255.85","","","","","",""
"46","Other","33.78246","-84.36326","Kiwi","02/17/11","98.88.255.85","","","","","",""
"47","Crabapples","33.78095","-84.37185","","02/17/11","98.88.255.85","","","","","",""
"48","Crabapples","33.78094","-84.37185","","02/17/11","98.88.255.85","","","","","",""
"49","Pomegranates","33.78094","-84.37193","","02/17/11","98.88.255.85","","","","","",""
"50","Plums","33.78093","-84.37188","","02/17/11","98.88.255.85","","","","","",""
"51","Persimmon","33.78092","-84.37185","Fuyu","02/17/11","98.88.250.220","","","","","",""
"54","Plums","33.78091","-84.37188","","02/17/11","184.36.245.203","","","","","",""
"55","Apples","33.73757","-84.34712","","02/17/11","72.152.9.253","","","","","",""
"56","Pomegranates","33.7374","-84.34709","","02/17/11","72.152.9.253","","","","","",""
"57","Pawpaw","33.73744","-84.34715","","02/17/11","72.152.9.253","","","","","",""
"58","Pawpaw","33.73754","-84.34717","","02/17/11","72.152.9.253","","","","","",""
"59","Plums","33.73754","-84.34709","","02/17/11","72.152.9.253","","","","","",""
"60","Persimmon","33.73745","-84.34707","Fuyu","02/17/11","72.152.9.253","","","","","",""
"61","Plums","33.73311","-84.42135","","02/17/11","98.92.19.243","","","","","",""
"62","Plums","33.73312","-84.42143","","02/17/11","98.92.19.243","","","","","",""
"63","Plums","33.73317","-84.4215","","02/17/11","98.92.19.243","","","","","",""
"64","Pawpaw","33.73302","-84.42139","","02/17/11","98.92.19.243","","","","","",""
"65","Pawpaw","33.73304","-84.42145","","02/17/11","98.92.19.243","","","","","",""
"66","Pawpaw","33.73302","-84.42143","","02/17/11","98.92.19.243","","","","","",""
"67","Pawpaw","33.73299","-84.42139","","02/17/11","98.92.19.243","","","","","",""
"68","Plums","33.73316","-84.42148","","02/17/11","98.92.19.243","","","","","",""
"69","Other","33.73276","-84.4214","Walnut","02/17/11","98.92.19.243","","","","","",""
"119","Apples","33.76942","-84.3405","","02/17/11","98.92.19.243","","","","","",""
"120","Apples","33.76938","-84.34052","","02/17/11","98.92.19.243","","","","","",""
"122","Serviceberries","33.73146","-84.37349","","02/17/11","98.92.19.243","","","","","",""
"123","Serviceberries","33.73131","-84.37348","","02/17/11","98.92.19.243","","","","","",""
"124","Pears","33.73151","-84.37339","","02/17/11","98.92.19.243","","","","","",""
"125","Persimmon","33.73141","-84.3734","Japanese","02/17/11","98.92.19.243","","","","","",""
"126","Persimmon","33.73137","-84.3734","Japanese","02/17/11","98.92.19.243","","","","","",""
"127","Persimmon","33.73155","-84.37346","native","02/17/11","98.92.19.243","","","","","",""
"128","Figs","33.73146","-84.37329","","02/17/11","98.92.19.243","","","","","",""
"129","Figs","33.73146","-84.37329","","02/17/11","98.92.19.243","","","","","",""
"130","Pomegranates","33.73142","-84.37328","","02/17/11","98.92.19.243","","","","","",""
"131","Pawpaw","33.73144","-84.3733","","02/17/11","98.92.19.243","","","","","",""
"132","Pawpaw","33.73143","-84.3733","paw-paw","02/17/11","98.92.19.243","","","","","",""
"133","Pawpaw","33.73143","-84.3733","paw-paw","02/17/11","98.92.19.243","","","","","",""
"134","Blueberries","33.73143","-84.37333","","02/17/11","98.92.19.243","","","","","",""
"135","Other","33.7314","-84.37343","herbs","02/17/11","98.92.19.243","","","","","",""
"136","Other","33.73138","-84.37343","herbs","02/17/11","98.92.19.243","","","","","",""
"138","Serviceberries","33.74637","-84.33981","","02/18/11","98.92.19.243","","","","","",""
"139","Serviceberries","33.7464","-84.33984","","02/18/11","98.92.19.243","","","","","",""
"140","Serviceberries","33.74645","-84.33981","","02/18/11","98.92.19.243","","","","","",""
"141","Serviceberries","33.74648","-84.33985","","02/18/11","98.92.19.243","","","","","",""
"142","Serviceberries","33.74652","-84.33982","","02/18/11","98.92.19.243","","","","","",""
"143","Serviceberries","33.74654","-84.33986","","02/18/11","98.92.19.243","","","","","",""
"145","Serviceberries","33.74719","-84.33986","","02/18/11","98.92.19.243","","","","","",""
"146","Serviceberries","33.74717","-84.33981","","02/18/11","98.92.19.243","","","","","",""
"148","Plums","33.75171","-84.35941","","02/18/11","98.92.19.243","","","","","",""
"152","Other","33.7517","-84.35516","jujubee","02/18/11","98.92.19.243","","","","","",""
"153","Other","33.7501","-84.35453","loquat","02/18/11","98.92.19.243","","","","","",""
"154","Pecans","33.75028","-84.35579","","02/18/11","98.92.19.243","","","","","",""
"155","Persimmon","33.74292","-84.34802","Fuyu","03/07/11","72.152.7.188","","","","","",""
"156","Persimmon","33.74291","-84.34796","Fuyu","03/07/11","72.152.7.188","","","","","",""
"157","Plums","33.74288","-84.34799","Santa Rosa","03/07/11","72.152.7.188","","","","","",""
"158","Pomegranates","33.74292","-84.34799","","03/07/11","72.152.7.188","","","","","",""
"160","Pawpaw","33.73944","-84.37284","Pawpaw","03/27/11","98.192.38.181","","","","","",""
"167","Serviceberries","33.7689","-84.35425","","03/27/11","98.192.38.181","","","","","",""
"168","Serviceberries","33.76893","-84.35418","","03/27/11","98.192.38.181","","","","","",""
"169","Serviceberries","33.76859","-84.35721","","03/27/11","98.192.38.181","","","","","",""
"170","Serviceberries","33.77054","-84.35844","","03/27/11","98.192.38.181","","","","","",""
"171","Serviceberries","33.77082","-84.35869","","03/27/11","98.192.38.181","","","","","",""
